Model,MAE,MSE,RMSE,R2
Linear Regression,2.473802447374453,9.566162607165975,3.0929213709963554,0.7542642125779195
Gradient Boosting,2.4756482748273747,9.595738004486272,3.0976988240444343,0.7535044791458974
Random Forest,2.511807006777591,9.978767730054866,3.158918759647811,0.7436652034526163
